word,answer
west (adverb),"west
towards the west."
wet (adjective),"wet
covered in water or another liquid."
wheel (noun),"wiːl
a circular object connected at the centre to a bar, used for making vehicles or parts of machines move."
which (pronoun),"wɪtʃ
used as the subject or object of a verb to show what thing or things you are referring to, or to add information about the thing just mentioned. It is usually used for things, not people."
while (conjunction),"waɪl
during the time that, or at the same time as."
whilst (conjunction),"waɪl
during the time that, or at the same time as."
white (noun),"waɪt
a colour like that of snow, milk, or bone."
whole (adjective),"həʊl
complete or not divided."
wide (adjective),"waɪd
having a larger distance from one side to the other than is usual or expected, especially in comparison with the length of something; not narrow."
will (modal verb),"wɪl
used to talk about what is going to happen in the future, especially things that you are certain about or things that are planned."
win (verb),"wɪn
to achieve first position and/or get a prize in a competition, election, fight, etc.."
winner (noun),"ˈwɪn.ər
someone who wins a game, competition, or election."
without (preposition),"wɪˈðaʊt
not having or doing something, or lacking something."
wonderful (adjective),"ˈwʌn.də.fəl
extremely good."
wood (noun),"wʊd
a hard substance that forms the branches and trunks of trees and can be used as a building material, for making things, or as a fuel."
wooden (adjective),"ˈwʊd.ən
made of wood."
wool (noun),"wʊl
the soft, thick hair that grows on the bodies of sheep and some other animals."
worker (noun),"ˈwɜː.kər
someone who works in a particular job or in a particular way."
worried (adjective),"ˈwʌr.id
unhappy because you are thinking about problems or unpleasant things that might happen."
worry (verb),"ˈwʌr.i
to think about problems or unpleasant things that might happen in a way that makes you feel unhappy and frightened."
worse (adjective),"wɜːs
comparative of 
bad more unpleasant, difficult, or severe than before or than something else that is also bad."
worst (adjective),"wɜːst
superlative of 
bad of the lowest quality, or the most unpleasant, difficult, or severe."
wow (exclamation),"waʊ
used to show surprise and sometimes pleasure."
wrong (adverb),"rɒŋ
in a way that is not correct."
yeah (adverb),"jeə
yes."
yet (adverb),"jet
still; until the present time."
yours (pronoun),"jɔːz
the one(s) belonging to or connected with the person or group of people being spoken or written to."
yourself (pronoun),"jɔːˈself
used when the subject of the verb is ""you"" or the person being spoken to, and the object is the same person."
zero (number),"ˈzɪə.rəʊ
(the number) 0; nothing."
