,vocab,sound,pos,cefr_level,definition
4412,desktop,ˈdesk.tɒp,adjective,none,able to fit on the top of a desk.
4413,desperately,ˈdes.pər.ət.li,adverb,B2,extremely or very much.
4414,destruction,dɪˈstrʌk.ʃən,noun,B2,"the act of destroying something, or the fact of being destroyed."
4415,destructive,dɪˈstrʌk.tɪv,adjective,none,"causing, or able to cause, damage."
4416,detain,dɪˈteɪn,verb,none,to force someone officially to stay in a place.
4417,detection,dɪˈtek.ʃən,noun,none,the fact of noticing or discovering something.
4418,detention,dɪˈten.ʃən,noun,none,the act of officially detaining someone.
4419,deteriorate,dɪˈtɪə.ri.ə.reɪt,verb,C1,to become worse.
4420,determination,dɪˌtɜː.mɪˈneɪ.ʃən,noun,B2,"the ability to continue trying to do something, although it is very difficult."
4421,devastate,ˈdev.ə.steɪt,verb,none,to destroy a place or thing completely or cause great damage.
4422,devil,ˈdev.əl,noun,B2,"an evil being, often represented in human form but with a tail and horns."
4423,devise,dɪˈvaɪz,verb,C2,"to invent a plan, system, object, etc., usually using your intelligence or imagination."
4424,diagnose,ˈdaɪ.əɡ.nəʊz,verb,C2,"to recognize and name the exact character of a disease or a problem, by examining it."
4425,diagnosis,ˌdaɪ.əɡˈnəʊ.sɪs,noun,C2,"a judgment about what a particular illness or problem is, made after examining it."
4426,dictate,dɪkˈteɪt,verb,C1,"to give orders, or tell someone exactly what they must do, with total authority."
4427,dictate,ˈdɪk.teɪt,noun,none,"an order that should be obeyed, often one that you give to yourself."
4428,dictator,dɪkˈteɪ.tər,noun,none,a leader who has complete power in a country and has not been elected by the people.
4429,differ,ˈdɪf.ər,verb,B2,"to be not like something or someone else, either physically or in another way."
4430,differentiate,ˌdɪf.əˈren.ʃi.eɪt,verb,C1,to show or find the difference between things that are compared.
4431,dignity,ˈdɪɡ.nə.ti,noun,C2,"calm, serious, and controlled behaviour that makes people respect you."
4432,dilemma,daɪˈlem.ə,noun,B2,a situation in which a difficult choice has to be made between two different things you could do.
4433,dimension,ˌdaɪˈmen.ʃən,noun,B2,"a measurement of something in a particular direction, especially its height, length, or width."
4434,diminish,dɪˈmɪn.ɪʃ,verb,C1,to reduce or be reduced in size or importance.
4435,dip,dɪp,verb,B2,to put something into a liquid for a short time.
4436,dip,dɪp,noun,none,"a cold, thick sauce that you eat by dipping pieces of uncooked vegetable or biscuits, etc. into it."
4437,diplomat,ˈdɪp.lə.mæt,noun,B2,"an official whose job is to represent one country in another, and who usually works in an embassy."
4438,diplomatic,ˌdɪp.ləˈmæt.ɪk,adjective,C1,involving diplomats or the management of the relationships between countries.
4439,directory,dɪˈrek.tər.i,noun,C1,"a book that gives a list of names, addresses, or other facts."
4440,disability,ˌdɪs.əˈbɪl.ə.ti,noun,B2,"an illness, injury, or condition that makes it difficult for someone to do some things that other people do, and that is usually permanent or lasts for a long time."
4441,disabled,dɪˈseɪ.bəld,adjective,B1,"having an illness, injury, or condition that makes it difficult to do some things that other people do."
4442,disabled,dɪˈseɪ.bəld,noun,none,"disabled people as a group. This term is now considered offensive, and people usually prefer to say people with disabilities or disabled people.."
4443,disagreement,ˌdɪs.əˈɡriː.mənt,noun,B2,an argument or a situation in which people do not have the same opinion.
4444,disappoint,ˌdɪs.əˈpɔɪnt,verb,B1,"to fail to satisfy someone or their hopes, wishes, etc., or to make someone feel unhappy."
4445,disappointment,ˌdɪs.əˈpɔɪnt.mənt,noun,B1,the feeling of being disappointed.
4446,disastrous,dɪˈzɑː.strəs,adjective,C1,extremely bad or unsuccessful.
4447,discard,dɪˈskɑːd,verb,none,to throw something away or get rid of it because you no longer want or need it.
4448,discard,dɪˈskɑːd,noun,none,"in a card game, a card that you have got rid of."
4449,discharge,dɪsˈtʃɑːdʒ,verb,none,"to allow someone officially to leave somewhere, especially a hospital or a law court."
4450,discharge,ˈdɪs.tʃɑːdʒ,noun,none,"official permission to leave the armed forces, a prison, or a hospital."
4451,disclose,dɪˈskləʊz,verb,C2,"to make something known publicly, or to show something that was hidden."
4452,disclosure,dɪˈskləʊ.ʒər,noun,none,the act of making something known or the fact that is made known.
4453,discourage,dɪˈskʌr.ɪdʒ,verb,B2,"to make someone feel less confident, enthusiastic, and positive about something, or less willing to do something."
4454,discourse,ˈdɪs.kɔːs,noun,none,"the use of language to communicate in speech or writing, or an example of this."
4455,discourse,ˈdɪs.kɔːs,verb,none,"to talk or write about a subject, especially for a long time and in a way that suggests you know a lot about it."
4456,discretion,dɪˈskreʃ.ən,noun,C2,"the ability to behave without causing embarrassment or attracting too much attention, especially by keeping information secret."
4457,discrimination,dɪˌskrɪm.ɪˈneɪ.ʃən,noun,C1,"treating a person or particular group of people differently, especially in a worse way from the way in which you treat other people, because of their race, gender, sexuality, etc.."
4458,dismissal,dɪˈsmɪs.əl,noun,C1,the situation in which an employer officially makes someone leave their job.
4459,disorder,dɪˈsɔː.dər,noun,C2,a state of untidiness or lack of organization.
4460,displace,dɪˈspleɪs,verb,C1,to force something out of its usual or original position.
4461,disposal,dɪˈspəʊ.zəl,noun,B2,"the act of getting rid of something, especially by throwing it away."
4462,dispose,dɪˈspəʊz,verb,none,to make someone feel a particular way towards someone or something.
4463,dispute,dɪˈspjuːt,noun,C2,"an argument or disagreement, especially an official one between, for example, workers and employers or two countries with a common border."
4464,dispute,dɪˈspjuːt,verb,C2,to disagree with something that someone says.
4465,disrupt,dɪsˈrʌpt,verb,B2,"to prevent something, especially a system, process, or event, from continuing as usual or as expected."
4466,disruption,dɪsˈrʌp.ʃən,noun,C1,"the action of preventing something, especially a system, process, or event, from continuing as usual or as expected."
4467,dissolve,dɪˈzɒlv,verb,C2,"(of a solid) to be absorbed by a liquid, especially when mixed, or (of a liquid) to absorb a solid."
4468,distant,ˈdɪs.tənt,adjective,B2,far away.
4469,distinct,dɪˈstɪŋkt,adjective,C1,clearly noticeable; that certainly exists.
4470,distinction,dɪˈstɪŋk.ʃən,noun,B2,a difference between two similar things.
4471,distinctive,dɪˈstɪŋk.tɪv,adjective,C1,Something that is distinctive is easy to recognize because it is different from other things.
4472,distinguish,dɪˈstɪŋ.ɡwɪʃ,verb,B2,"to notice or understand the difference between two things, or to make one person or thing seem different from another."
4473,distort,dɪˈstɔːt,verb,none,to change the shape of something so that it looks strange or unnatural.
4474,distract,dɪˈstrækt,verb,B2,to make someone stop giving their attention to something.
4475,distress,dɪˈstres,noun,C1,"a feeling of extreme worry, sadness, or pain."
4476,distress,dɪˈstres,verb,none,to make someone feel very upset or worried.
4477,disturb,dɪˈstɜːb,verb,B2,to interrupt what someone is doing.
4478,disturbing,dɪˈstɜː.bɪŋ,adjective,C2,making you feel worried or upset.
4479,dive,daɪv,verb,B1,"to jump into water, especially with your head and arms going in first, or to move down under the water."
4480,dive,daɪv,noun,B2,a jump into water with your head going in first.
4481,diverse,daɪˈvɜːs,adjective,B2,including many different types of people or things.
4482,diversity,daɪˈvɜː.sə.ti,noun,C1,the fact of many different types of things or people being included in something; a range of different things or people.
4483,divert,daɪˈvɜːt,verb,C2,to cause something or someone to change direction.
4484,divine,dɪˈvaɪn,adjective,none,"connected with a god, or like a god."
4485,divine,dɪˈvaɪn,verb,none,to guess something.
4486,divorce,dɪˈvɔːs,noun,B1,an official or legal process to end a marriage.
4487,divorce,dɪˈvɔːs,verb,B2,to end your marriage by an official or legal process.
4488,doctrine,ˈdɒk.trɪn,noun,none,"a belief or set of beliefs, especially political or religious ones, that are taught and accepted by a particular group."
4489,documentation,ˌdɒk.jə.menˈteɪ.ʃən,noun,none,pieces of paper containing official information.
4490,domain,dəˈmeɪn,noun,C1,an area of interest or an area over which a person has control.
4491,dominance,ˈdɒm.ɪ.nəns,noun,C2,"the quality of being more important, strong, or successful than anything else of the same type."
4492,dominant,ˈdɒm.ɪ.nənt,adjective,C1,"more important, strong, or noticeable than anything else of the same type."
4493,donation,dəʊˈneɪ.ʃən,noun,B2,"money or goods that are given to help a person or organization, or the act of giving them."
4494,donor,ˈdəʊ.nər,noun,C2,a person who gives some of their blood or a part of their body to help someone who is ill.
4495,dose,dəʊs,noun,B2,a measured amount of something such as medicine.
4496,dose,dəʊs,verb,none,to give someone a measured amount of medicine.
4497,dot,dɒt,noun,B2,a very small round mark.
4498,dot,dɒt,verb,none,to put a dot or dots on something.
4499,downtown,ˌdaʊnˈtaʊn,adjective,A2,in or to the central part of a city.
4500,downtown,ˌdaʊnˈtaʊn,noun,none,the central part of a city.
4501,drain,dreɪn,verb,C2,"If you drain something, you remove the liquid from it, usually by pouring it away or allowing it to flow away, and if something drains, liquid flows away or out of it."
4502,drain,dreɪn,noun,C2,"a pipe or channel that is used to carry away waste matter and water from a building, or an opening in the road that rain water can flow down."
4503,dramatically,drəˈmæt.ɪ.kəl.i,adverb,B2,suddenly or obviously.
4504,drift,drɪft,verb,C2,"to move slowly, especially as a result of outside forces, with no control over direction."
4505,drift,drɪft,noun,none,the general meaning without the details.
4508,drought,draʊt,noun,C2,a long period when there is little or no rain.
4509,drown,draʊn,verb,B2,to (cause to) die by being unable to breathe underwater.
4510,dual,ˈdʒuː.əl,adjective,C1,"with two parts, or combining two things."
4511,dub,dʌb,verb,none,"to give something or someone a particular name, especially describing what you think of it, him, or her."
4512,dub,dʌb,noun,none,a style of music or poetry connected with reggae in which the main part of the tune is removed and various special effects are added.
4513,dull,dʌl,adjective,B1,not interesting or exciting in any way.
4514,dull,dʌl,verb,none,"to make something such as a feeling less sharp and strong, or to become less sharp and strong."
4515,dumb,dʌm,adjective,C1,unable to speak.
4516,dump,dʌmp,verb,C2,to put down or drop something in a careless way.
4517,dump,dʌmp,noun,C1,a place where people are allowed to leave their rubbish.
4518,duo,ˈdʒuː.əʊ,noun,none,"two people, especially two singers, musicians, or other performers."
4519,duration,dʒʊəˈreɪ.ʃən,noun,C1,the length of time that something lasts.
4520,dynamic,daɪˈnæm.ɪk,adjective,B2,having a lot of ideas and enthusiasm.
4521,eager,ˈiː.ɡər,adjective,B2,"wanting very much to do or have something, especially something interesting or enjoyable."
4522,earnings,ˈɜː.nɪŋz,noun,B2,the amount of money that someone is paid for working.
4523,ease,iːz,verb,none,"to make or become less severe, difficult, unpleasant, painful, etc.."
4524,ease,iːz,noun,none,the quality of needing little effort or not being difficult.
4525,echo,ˈek.əʊ,noun,C2,a sound that is heard after it has been reflected off a surface such as a wall or a cliff.
4526,echo,ˈek.əʊ,verb,C2,"If a sound echoes or a place echoes with a sound, you hear the sound again because you are in a large, empty space."
4527,ecological,ˌiː.kəˈlɒdʒ.ɪ.kəl,adjective,B2,relating to ecology or the environment.
4528,economics,ˌiː.kəˈnɒm.ɪks,noun,B1,"the way in which trade, industry, or money is organized, or the study of this."
4529,economist,iˈkɒn.ə.mɪst,noun,B2,a person who studies or has a special knowledge of economics.
4530,editorial,ˌed.ɪˈtɔː.ri.əl,adjective,none,"relating to the editor (= the person in charge) or editors of a newspaper, magazine, television programme, etc. and to the power to decide what is published or shown in it."
4531,editorial,ˌed.ɪˈtɔː.ri.əl,noun,none,an article in a newspaper that expresses the editor's (= the person in charge of the newspaper's) opinion on a subject of particular interest at the present time.
4532,educator,ˈedʒ.u.keɪ.tər,noun,none,a person who teaches people.
4533,effectiveness,ɪˈfek.tɪv.nəs,noun,C1,the degree to which something is effective.
4534,efficiency,ɪˈfɪʃ.ən.si,noun,none,"the quality of achieving the largest amount of useful work using as little energy, fuel, effort, etc. as possible."
4535,efficiently,ɪˈfɪʃ.ənt.li,adverb,B2,"working or operating in an organized, quick, and effective way."
4536,ego,ˈiː.ɡəʊ,noun,none,"your idea or opinion of yourself, especially your feeling of your own importance and ability."
4537,elaborate,iˈlæb.ər.ət,adjective,C2,containing a lot of careful detail or many detailed parts.
4538,elaborate,iˈlæb.ə.reɪt,verb,none,to add more information to or explain something that you have said.
4539,elbow,ˈel.bəʊ,noun,B1,"the part in the middle of the arm where it bends, or the part of a piece of clothing that covers this area."
4540,elbow,ˈel.bəʊ,verb,none,to push someone rudely with your elbows so that you can move or have more space.
4541,electoral,iˈlek.tər.əl,adjective,none,relating to an election.
4542,electronics,ˌel.ekˈtrɒn.ɪks,noun,B2,the scientific study of electric current and the technology that uses it.
4543,elegant,ˈel.ɪ.ɡənt,adjective,B2,graceful and attractive in appearance or behaviour.
4544,elementary,ˌel.ɪˈmen.tər.i,adjective,none,basic.
4545,elevate,ˈel.ɪ.veɪt,verb,none,to raise something or lift something up.
4546,eligible,ˈel.ɪ.dʒə.bəl,adjective,C1,having the necessary qualities or satisfying the necessary conditions.
4547,eliminate,iˈlɪm.ɪ.neɪt,verb,C1,to remove or take away someone or something.
4548,elite,iˈliːt,noun,C1,"the richest, most powerful, best-educated, or best-trained group in a society."
4549,elite,iˈliːt,adjective,none,"belonging to the richest, most powerful, best-educated, or best-trained group in a society."
4550,embark,ɪmˈbɑːk,verb,none,to go onto a ship.
4551,embarrassment,ɪmˈbær.əs.mənt,noun,B2,"the feeling of being embarrassed, or something that makes you feel embarrassed."
4552,embassy,ˈem.bə.si,noun,B1,the group of people who represent their country in a foreign country.
4553,embed,ɪmˈbed,verb,none,to fix something firmly into a substance.
4554,embody,ɪmˈbɒd.i,verb,C2,to represent a quality or an idea exactly.
4555,embrace,ɪmˈbreɪs,verb,C1,to accept something enthusiastically.
4556,embrace,ɪmˈbreɪs,noun,C2,"the act of holding someone tightly with both arms to express love, liking, or sympathy, or when greeting or leaving someone."
4557,emergence,ɪˈmɜː.dʒəns,noun,none,the fact of something becoming known or starting to exist.
4558,emission,iˈmɪʃ.ən,noun,C1,"the act of sending out gas, heat, light, etc.."
4559,emotionally,ɪˈməʊ.ʃən.əl.i,adverb,B2,in a way that relates to the emotions.
4560,empire,ˈem.paɪər,noun,C1,"a group of countries ruled by a single person, government, or country."
4561,empirical,ɪmˈpɪr.ɪ.kəl,adjective,C2,based on what is experienced or seen rather than on theory.
4562,empower,ɪmˈpaʊər,verb,none,to give someone official authority or the freedom to do something.
4563,enact,ɪˈnækt,verb,none,"to put something into action, especially to make something law."
4564,encompass,ɪnˈkʌm.pəs,verb,none,to include different types of things.
4565,encouragement,ɪnˈkʌr.ɪdʒ.mənt,noun,B2,words or behaviour that give someone confidence to do something.
4566,encouraging,ɪnˈkʌr.ɪ.dʒɪŋ,adjective,B2,making you feel more confidence or hope.
4567,endeavour,enˈdev.ər,verb,C1,to try to do something.
4568,endeavour,enˈdev.ər,noun,C1,an attempt to do something.
4569,endless,ˈend.ləs,adjective,B2,"never finishing, or seeming never to finish."
4570,endorse,ɪnˈdɔːs,verb,C2,to make a public statement of your approval or support for something or someone.
4571,endorsement,ɪnˈdɔːs.mənt,noun,none,the act of saying that you approve of or support something or someone.
4572,endure,ɪnˈdʒʊər,verb,B2,"to suffer something difficult, unpleasant, or painful."
4573,enforce,ɪnˈfɔːs,verb,C1,"to make people obey a law, or to make a particular situation happen or be accepted."
4574,enforcement,ɪnˈfɔːs.mənt,noun,none,"the process of making people obey a law or rule, or making a particular situation happen or be accepted."
4575,engagement,ɪnˈɡeɪdʒ.mənt,noun,none,an agreement to marry someone.
4576,engaging,ɪnˈɡeɪ.dʒɪŋ,adjective,none,"pleasant, attractive, and charming."
4577,enjoyable,ɪnˈdʒɔɪ.ə.bəl,adjective,B1,An enjoyable event or experience gives you pleasure.
4578,enquire,ɪnˈkwaɪər,verb,B2,"to 
inquire ."
4579,enrich,ɪnˈrɪtʃ,verb,C1,to improve the quality of something by adding something else.
4580,enrol,ɪnˈrəʊl,verb,none,"to put yourself or someone else onto the official list of members of a course, college, or group."
4581,ensue,ɪnˈsjuː,verb,none,"to happen after something else, especially as a result of it."
4582,enterprise,ˈen.tə.praɪz,noun,C1,"an organization, especially a business, or a difficult and important plan, especially one that will earn money."
4583,entertaining,en.təˈteɪ.nɪŋ,adjective,B2,funny and enjoyable.
4584,entertaining,en.təˈteɪ.nɪŋ,noun,none,the activity of inviting people to your home and giving them food and drink.
4585,enthusiast,ɪnˈθjuː.zi.æst,noun,none,a person who is very interested in and involved with a particular subject or activity.
4586,entitle,ɪnˈtaɪ.təl,verb,B2,to give someone the right to do or have something.
4587,entity,ˈen.tɪ.ti,noun,C2,"something that exists apart from other things, having its own independent existence."
4588,entrepreneur,ˌɒn.trə.prəˈnɜːr,noun,none,"someone who starts their own business, especially when this involves seeing a new opportunity."
4589,envelope,ˈen.və.ləʊp,noun,A2,"a flat, usually square or rectangular, paper container for a letter."
4590,epidemic,ˌep.ɪˈdem.ɪk,noun,none,the appearance of a particular disease in a large number of people at the same time.
4591,epidemic,ˌep.ɪˈdem.ɪk,adjective,none,happening a lot and affecting many people.
4592,equality,iˈkwɒl.ə.ti,noun,B2,the right of different groups of people to have a similar social position and receive the same treatment.
4593,equation,ɪˈkweɪ.ʒən,noun,C1,a mathematical statement in which you show that two amounts are equal using mathematical symbols.
4594,equip,ɪˈkwɪp,verb,B2,to provide a person or a place with objects that are necessary for a particular purpose.
4595,equivalent,ɪˈkwɪv.əl.ənt,adjective,C1,"having the same amount, value, purpose, qualities, etc.."
4596,equivalent,ɪˈkwɪv.əl.ənt,noun,C1,"something that has the same amount, value, purpose, qualities, etc. as something else."
4597,era,ˈɪə.rə,noun,B2,a period of time of which particular events or stages of development are typical.
4598,erect,ɪˈrekt,verb,none,"to build a building, wall, or other structure."
4599,erect,ɪˈrekt,adjective,none,in a position with your back and neck straight.
4600,erupt,ɪˈrʌpt,verb,C2,"When a volcano erupts, it explodes and flames and rocks come out of it."
4601,escalate,ˈes.kə.leɪt,verb,none,to become or make something become greater or more serious.
4602,essence,ˈes.əns,noun,C2,the basic or most important idea or quality of something.
4603,essentially,ɪˈsen.ʃəl.i,adverb,B2,relating to the most important characteristics or ideas of something.
4604,establishment,ɪˈstæb.lɪʃ.mənt,noun,C1,"a business or other organization, or the place where an organization operates."
4605,eternal,ɪˈtɜː.nəl,adjective,none,lasting forever or for a very long time.
4606,ethic,ˈeθ.ɪk,noun,C2,"a system of accepted beliefs that control behaviour, especially such a system based on morals."
4607,ethnic,ˈeθ.nɪk,adjective,C1,"relating or belonging to a group of people who can be seen as distinct (= different) because they have a shared culture, tradition, language, history, etc. ."
4608,ethnic,ˈeθ.nɪk,noun,none,an offensive word for a person belonging to an ethnic minority (= a group of people living in a country where most people are from a different group).
4609,evacuate,ɪˈvæk.ju.eɪt,verb,none,to move people from a dangerous place to somewhere safe.
4610,evaluation,ɪˌvæl.juˈeɪ.ʃən,noun,C1,"the process of judging or calculating the quality, importance, amount, or value of something."
4611,evident,ˈev.ɪ.dənt,adjective,B2,easily seen or understood.
4612,evoke,ɪˈvəʊk,verb,none,to make someone remember something or feel an emotion.
4613,evolution,ˌiː.vəˈluː.ʃən,noun,B2,the way in which living things change and develop over millions of years.
4614,evolutionary,ˌiː.vəˈluː.ʃən.ər.i,adjective,none,relating to the way in which living things develop over millions of years.
4615,evolve,ɪˈvɒlv,verb,C1,"to develop gradually, or to cause something or someone to develop gradually."
4616,exaggerate,ɪɡˈzædʒ.ə.reɪt,verb,C1,"to make something seem larger, more important, better, or worse than it really is."
4617,exceed,ɪkˈsiːd,verb,C1,"to be greater than a number or amount, or to go past an allowed limit."
4618,excellence,ˈek.səl.əns,noun,none,the quality of being excellent.
4619,exception,ɪkˈsep.ʃən,noun,B2,"someone or something that is not included in a rule, group, or list or that does not behave in the expected way."
4620,exceptional,ɪkˈsep.ʃən.əl,adjective,B2,"much greater than usual, especially in skill, intelligence, quality, etc.."
4621,excess,ɪkˈses,noun,C1,"an amount that is more than acceptable, expected, or reasonable."
4622,excess,ˈek.ses,adjective,C1,extra.
4623,excessive,ekˈses.ɪv,adjective,C1,too much.
4624,exclude,ɪkˈskluːd,verb,C1,to prevent someone or something from entering a place or taking part in an activity.
4625,exclusion,ɪkˈskluː.ʒən,noun,none,the act of not allowing someone or something to take part in an activity or to enter a place.
4626,exclusive,ɪkˈskluː.sɪv,adjective,C1,limited to only one person or group of people.
4627,exclusive,ɪkˈskluː.sɪv,noun,none,"a story that is published in one magazine, website, etc., and no others."
4628,exclusively,ɪkˈskluː.sɪv.li,adverb,C1,only.
4629,execute,ˈek.sɪ.kjuːt,verb,C2,to kill someone as a legal punishment.
4630,execution,ˌek.sɪˈkjuː.ʃən,noun,none,the legal punishment of killing someone.
4631,exert,ɪɡˈzɜːt,verb,none,"to use something such as authority, power, influence, etc. in order to make something happen."
4632,exhibit,ɪɡˈzɪb.ɪt,verb,C1,to show something publicly.
4633,exhibit,ɪɡˈzɪb.ɪt,noun,C1,"an object that is shown to the public in a museum, etc.."
4634,exile,ˈek.saɪl,noun,C2,"the condition of someone being sent or kept away from their own country, village, etc., especially for political reasons."
4635,exile,ˈek.saɪl,verb,none,"to send someone away from their own country, village, etc., especially for political reasons."
4636,exit,ˈek.sɪt,noun,A2,the door through which you might leave a building or large vehicle.
4637,exit,ˈek.sɪt,verb,none,"to leave a place such as a building, room, or large vehicle."
4638,exit,ˈek.sɪt,interjection,none,an instruction written in a play meaning that a character leaves the stage.
4639,exotic,ɪɡˈzɒt.ɪk,adjective,B2,"unusual and exciting because of coming (or seeming to come) from far away, especially a tropical country."
4640,expansion,ɪkˈspæn.ʃən,noun,B2,"the increase of something in size, number, or importance."
4641,expenditure,ɪkˈspen.dɪ.tʃər,noun,C2,the total amount of money that a government or person spends.
4642,experimental,ɪkˌsper.ɪˈmen.təl,adjective,none,"using new methods, ideas, substances, etc. that have not been tried before, usually in order to find out what effect they have."
4643,expertise,ˌek.spɜːˈtiːz,noun,none,a high level of knowledge or skill.
4644,expire,ɪkˈspaɪər,verb,C2,"If something that lasts for a fixed length of time expires, it comes to an end or stops being in use."
4645,explicit,ɪkˈsplɪs.ɪt,adjective,C2,clear and exact.
4646,explicitly,ɪkˈsplɪs.ɪt.li,adverb,none,in a way that is clear and exact.
4647,exploit,ɪkˈsplɔɪt,verb,B2,to use something in a way that helps you.
4648,exploit,ˈek.splɔɪt,noun,none,"something unusual, brave, or funny that someone has done."
4649,exploitation,ˌek.splɔɪˈteɪ.ʃən,noun,none,the use of something in order to get an advantage from it.
4650,explosive,ɪkˈspləʊ.sɪv,adjective,C2,exploding or able to explode easily.
4651,explosive,ɪkˈspləʊ.sɪv,noun,C2,a substance or piece of equipment that can cause explosions.
4652,exposure,ɪkˈspəʊ.ʒər,noun,C1,the fact of experiencing something or being affected by it because of being in a particular situation or place.
4653,extension,ɪkˈsten.ʃən,noun,B2,"the fact of reaching, stretching, or continuing; the act of adding to something in order to make it bigger or longer."
4654,extension,ɪkˈsten.ʃən,adjective,none,intended to support students' learning by making them try different or more difficult things in addition to their basic work.
4655,extensive,ɪkˈsten.sɪv,adjective,B2,covering a large area; having a great range.
4656,extensively,ɪkˈsten.sɪv.li,adverb,none,in a way that covers a large area or has a great range.
4657,extract,ɪkˈstrækt,verb,B2,to remove or take out something.
4658,extract,ˈek.strækt,noun,none,"a substance taken from a plant, flower, etc. and used especially in food or medicine."
4659,extremist,ɪkˈstriː.mɪst,noun,C2,someone who has beliefs that most people think are unreasonable and unacceptable.
4660,extremist,ɪkˈstriː.mɪst,adjective,none,having or involving beliefs that most people think are unreasonable and unacceptable.
4661,fabric,ˈfæb.rɪk,noun,C1,"cloth or material for making clothes, covering furniture, etc.."
4662,fabulous,ˈfæb.jə.ləs,adjective,none,very good; excellent.
4663,facilitate,fəˈsɪl.ɪ.teɪt,verb,C1,to make something possible or easier.
4664,faction,ˈfæk.ʃən,noun,none,"a group within a larger group, especially one with slightly different ideas from the main group."
4665,faculty,ˈfæk.əl.ti,noun,C1,"a natural ability to hear, see, think, move, etc.."
4666,fade,feɪd,verb,B2,"to (cause to) lose colour, brightness, or strength gradually."
4667,fade,feɪd,noun,none,"a gradual loss of colour or brightness, often until an image disappears."
4668,failed,feɪld,adjective,none,having not succeeded.
4669,fairness,ˈfeə.nəs,noun,C1,the quality of treating people equally or in a way that is right or reasonable.
4670,fake,feɪk,noun,C2,an object that is made to look real or valuable in order to deceive people.
4671,fake,feɪk,adjective,C1,"not real, but made to look or seem real."
4672,fake,feɪk,verb,C2,to pretend that you have a feeling or illness.
4673,fame,feɪm,noun,B2,"the state of being known or recognized by many people because of your achievements, skills, etc.."
4674,fantasy,ˈfæn.tə.si,noun,B2,"a pleasant situation that you enjoy thinking about but is unlikely to happen, or the activity of imagining things like this."
4675,fare,feər,noun,B1,the money that you pay for a journey in a vehicle such as a bus or train.
4676,fare,feər,verb,none,to succeed or be treated in the stated way.
4677,fatal,ˈfeɪ.təl,adjective,B2,"A fatal illness, accident, etc. causes death."
4678,fate,feɪt,noun,B2,"what happens to a particular person or thing, especially something final or negative, such as death or defeat."
4679,favourable,ˈfeɪ.vər.ə.bəl,adjective,B2,showing that you like or approve of someone or something.
4680,feat,fiːt,noun,C2,"something difficult needing a lot of skill, strength, courage, etc. to achieve it."
4681,federal,ˈfed.ər.əl,adjective,C1,"relating to the central government, and not to the government of a region, of some countries such as the US."
4682,feeding,ˈfiː.dɪŋ,noun,none,an occasion when a baby has something to eat or drink.
4683,feminist,ˈfem.ɪ.nɪst,noun,none,"a person who believes in feminism, and tries to achieve change that helps women to get equal opportunities and treatment."
4684,feminist,ˈfem.ɪ.nɪst,adjective,none,relating to feminism.
4685,fever,ˈfiː.vər,noun,B1,a medical condition in which the body temperature is higher than usual and the heart beats very fast.
4686,fibre,ˈfaɪ.bər,noun,none,any of the thread-like parts that form plant or artificial material and can be made into cloth.
4687,fierce,fɪəs,adjective,B2,physically violent and frightening.
4688,film-maker,ˈfɪlmˌmeɪ.kər,noun,B1,someone who is in charge of making a film.
4689,filter,ˈfɪl.tər,noun,C2,"any of several types of equipment or devices for removing solids from liquids or gases, or for removing particular types of light."
4690,filter,ˈfɪl.tər,verb,C2,to appear or happen gradually or to a limited degree.
4695,firearm,ˈfaɪər.ɑːm,noun,none,a gun that can be carried easily.
4696,firefighter,ˈfaɪəˌfaɪ.tər,noun,B1,a person whose job is to stop fires from burning.
4697,firework,ˈfaɪə.wɜːk,noun,B1,a small container filled with explosive chemicals that produce bright coloured patterns or loud noises when they explode.
4701,firmly,ˈfɜːm.li,adverb,B2,in a way that will not become loose.
4705,fixture,ˈfɪks.tʃər,noun,none,"a permanently fixed piece of furniture in a house, such as a bath, that would not be taken by someone when moving to a new home."
4706,flavour,ˈfleɪ.vər,noun,B1,"how food or drink tastes, or a particular taste itself."
4707,flavour,ˈfleɪ.vər,verb,none,to give a particular taste to food or drink.
4708,flaw,flɔː,noun,C1,"a fault, mistake, or weakness, especially one that happens while something is being planned or made, or that causes something not to be perfect."
4709,flaw,flɔː,verb,none,to cause something to be not perfect.
4710,flawed,flɔːd,adjective,C2,"not perfect, or containing mistakes."
4711,flee,fliː,verb,C1,"to escape by running away, especially because of danger or fear."
4712,fleet,fliːt,noun,C1,"a group of ships, or all of the ships in a country's navy."
4713,fleet,fliːt,adjective,none,able to run quickly.
4714,flesh,fleʃ,noun,C2,"the soft part of the body of a person or animal that is between the skin and the bones, or the soft inside part of a fruit or vegetable."
4715,flexibility,ˌflek.səˈbɪl.ə.ti,noun,B2,the ability to change or be changed easily according to the situation.
4716,flourish,ˈflʌr.ɪʃ,verb,C2,to grow or develop successfully.
4717,flourish,ˈflʌr.ɪʃ,noun,none,"If you do something with a flourish, you do it with one big, noticeable movement."
4718,fluid,ˈfluː.ɪd,noun,C2,a substance that flows and is not solid.
4719,fluid,ˈfluː.ɪd,adjective,C2,smooth and continuous.
4720,fond,fɒnd,adjective,B1,to like someone or something very much.
4721,fond,fɒnd,noun,none,"small pieces of brown food that are left in a pan after cooking, often used for making sauces."
4722,fool,fuːl,noun,B1,a person who behaves in a silly way without thinking.
4723,fool,fuːl,verb,B2,to trick someone.
4724,fool,fuːl,adjective,none,silly.
